Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
63,1966,Adilabad,54,690,43.5,218.2,1486,54.5,26,90,114.2,10,40,135,38.1,36,203.6
63,1967,Adilabad,55,590,52.8,97.8,553,60,8,30,145,7,30,,4.4,4,205
63,1968,Adilabad,47.5,400,58.7,123.5,458,62.1,9,30,70.5,25,140,99.5,49.6,38,
63,1969,Adilabad,58.8,667,49.2,186.6,991,53.3,7,30,94.2,26,100,94,9.1,8,210.8
63,1970,Adilabad,59.7,557,54.5,297.9,892,76.4,16,90,97.3,135,380,126.2,2.8,2,213.2
63,1971,Adilabad,41.9,334,66.1,131.5,668,74.4,7,30,118.9,7,30,113.3,8.1,6,221.6
63,1972,Adilabad,50.7,388,92.2,219.6,1146,87.8,9,20,163.1,66,350,152.2,4.1,4,285.5
63,1973,Adilabad,64.9,938,83.5,60,367,120.1,3,10,154.3,11,40,210.5,7,11,376.6
63,1974,Adilabad,64.9,554,109,188.9,872,150,8,30,197,37,170,177.8,12.8,8,360.7
63,1975,Adilabad,64.7,814,87.9,212.7,1245,110.6,25,130,149,11,70,151.6,36,51,331.1
63,1976,Adilabad,64.5,768,90.1,101.2,458,108.4,9,40,174.6,7,40,188,5.1,8,388.7
63,1977,Adilabad,65.7,741,,121.7,532,104,7,30,273,28,200,,46,41,406
63,1978,Adilabad,68.6,933,,199.1,820,100,7,30,235.8,30,270,,9.8,23,359
63,1979,Adilabad,63,850,,296.4,1486,105,19,80,260,122,670,,2.9,4,
63,1980,Adilabad,66,970,,133.3,759,140.5,6,30,279,8,50,,7.7,10,511
63,1981,Adilabad,71,1040,,209,523,147.5,12,20,307,70,440,,3.3,4,538
63,1982,Adilabad,70.6,1037,,62.8,358,,3,10,347.1,8,50,,7.3,8,523.5
63,1983,Adilabad,71.6,990,145.7,175.7,773,157.1,8,30,414,39,280,,10.8,13,658
63,1984,Adilabad,63.9,703,,216,1140,137.5,26.1,160,356,10.5,60,,39.5,65,772
63,1985,Adilabad,70.2,843,,108.5,450,167,11.1,50,340,7.5,40,,3.7,3,640
63,1986,Adilabad,66,850,167,114.3,480,180,7.7,40,442,21.5,180,,44,62,738
63,1987,Adilabad,60,570,,219,1470,225,5.9,30,504,28.5,210,,8.2,11,940
63,1988,Adilabad,65.9,835,,320.8,1040,236,19.6,70,506,118.3,510,,3.5,5,940
63,1989,Adilabad,72,1249,,143.9,820,234.5,8,40,530,9.6,50,,8,17,949
63,1990,Adilabad,68.69,1174.5,,224.3,720,258,10,30,540,78.6,340,,3.3,5,985
63,1991,Adilabad,61.87,548.3,214,67.7,370,344,4.2,20,,8.4,40,873,6.8,9,1462
63,1992,Adilabad,63.16,1031.4,296,184.7,880,240,8.2,40,943,35.9,260,,11,16,1152
63,1993,Adilabad,62,1300,344,224.6,1171,240,29,85,983,13.8,96,,37.8,50,1323
63,1994,Adilabad,62,1170,378,115.5,649,424,11.8,31,1169,6.4,45,,4,10,2094
63,1995,Adilabad,70,830,392,121.3,558,,7,19,1310,26.4,182,,45.4,61,
63,1996,Adilabad,64,1450,505,201.9,1126,466,8.1,21,1186,39.3,359,1147,9.6,20,1553
63,1997,Adilabad,36,410,490,328,1799,474,23.4,76,1586,127.7,934,1077,3.9,6,1244
63,1998,Adilabad,79,1850,443,152.5,889,499,8.6,23,1661,8.9,62,1191,7.6,9,2021
63,1999,Adilabad,77.37,1890.7,555,218,589,570,13.8,13,1362,74.1,460,1250,4.3,6,1904
63,2000,Adilabad,77.47,1672.6,499,64.5,327,479,4.1,11,1380,9.4,67,1882,7.5,8,1627
63,2001,Adilabad,77.14,1737.4,518,189.2,1301,477,10.7,28,1291,42.5,318,1202,11.3,18,1797
63,2002,Adilabad,77,1220,550,244.4,982,571,27.4,120,1356,14.6,106,1321,40,51,1626
63,2003,Adilabad,80.92,2007.5,568,117.5,489,574,12.9,39,1635,8.2,62,1535,6.1,9,1554
63,2004,Adilabad,39.62,628.8,632,128,447,501,8,24,1359,31.4,266,1376,42.7,48,2557
63,2005,Adilabad,78.75,2007.8,576,197.7,503,557,7.8,24,1518,32.4,233,1672,8.6,10,2095
63,2006,Adilabad,73.76,1778.7,630,347.8,1780,570,25.2,50,2094,158.9,1003,1843,4.7,7,2546
63,2007,Adilabad,52.15,1237.2,820,151.5,694,733,9.7,29,2178,9.6,70,1869,9.1,14,3339
63,2008,Adilabad,77.29,1983.8,942,201.9,549,727,14.1,31,2205,84.4,779,2408,4.8,7,3655
63,2009,Adilabad,48.12,985,952,57.2,162,992,3.5,11,3775,10.5,79,2505,6.4,9,5285
63,2010,Adilabad,90.55,2551.5,987,188,764,822,10.3,31,3055,50.1,431,3651,13.7,21,4209
63,2011,Adilabad,76.17,1993.3,1038,222.2,1222,1275,28.6,88,3072,15.6,74,4015,43.2,60,4192
63,2012,Adilabad,70.75,1872.7,1176,113.8,378,1330,15.4,38,3592,9.4,47,4828,5.8,6,6847
63,2013,Adilabad,90.69,2489.1,,110.2,592,,7.8,17,,34.5,277,,40,35,
63,2014,Adilabad,50.08,1261.3,,204.3,1155,,8.9,19,,37.9,320,,10.8,12,
63,2015,Adilabad,57.5,1516,,338.6,1042,1819,24.9,50,7405,202.6,831,4956,3.4,4,6695
63,2016,Adilabad,95.89,2987.4,,137.4,853,,10.4,23,,10.1,49,,6.4,7,
63,2017,Adilabad,93.67,2498.8,,195.9,341,,12.5,17,,91.1,619,,3.3,4,
