Dist Code,Year,Dist Name,PADDY HARVEST PRICE (Rs per Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),BAJRA HARVEST PRICE (Rs per Quintal),MAIZE HARVEST PRICE (Rs per Quintal),RAGI HARVEST PRICE (Rs per Quintal),GRAM HARVEST PRICE (Rs per Quintal), ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SEASMUM HARVEST PRICE (Rs per Quintal),SUGARCANE GUR HARVEST PRICE (Rs per Quintal),COTTON KAPAS HARVEST PRICE (Rs per Quintal)
63,1966,Adilabad,43.5,54.5,-1,53.9,-1,107.2,114.2,135,203.6,-1,115.3
63,1967,Adilabad,52.8,60,-1,63.5,-1,-1,145,-1,205,-1,-1
63,1968,Adilabad,58.7,62.1,-1,50.6,-1,78.5,70.5,99.5,-1,-1,126.3
63,1969,Adilabad,49.2,53.3,-1,51.8,-1,106.6,94.2,94,210.8,-1,169.7
63,1970,Adilabad,54.5,76.4,-1,63.4,-1,84.4,97.3,126.2,213.2,-1,256.6
63,1971,Adilabad,66.1,74.4,-1,63.4,-1,90.8,118.9,113.3,221.6,-1,233.2
63,1972,Adilabad,92.2,87.8,-1,76.2,-1,127.6,163.1,152.2,285.5,171.6,202.6
63,1973,Adilabad,83.5,120.1,-1,108.1,-1,178,154.3,210.5,376.6,-1,382
63,1974,Adilabad,109,150,-1,121,-1,180.5,197,177.8,360.7,-1,315.3
63,1975,Adilabad,87.9,110.6,-1,77.8,-1,117.7,149,151.6,331.1,-1,289.6
63,1976,Adilabad,90.1,108.4,-1,86.7,-1,146.5,174.6,188,388.7,-1,494.1
63,1977,Adilabad,-1,104,-1,90,-1,175,273,-1,406,-1,455.5
63,1978,Adilabad,-1,100,-1,88,-1,197,235.8,-1,359,-1,437
63,1979,Adilabad,-1,105,-1,93,-1,248,260,-1,-1,-1,-1
63,1980,Adilabad,-1,140.5,-1,98,-1,332,279,-1,511,-1,506.5
63,1981,Adilabad,-1,147.5,-1,126,-1,272,307,-1,538,-1,560
63,1982,Adilabad,-1,-1,-1,123.5,-1,310.4,347.1,-1,523.5,-1,535.5
63,1983,Adilabad,145.7,157.1,-1,142,-1,323.9,414,-1,658,-1,602
63,1984,Adilabad,-1,137.5,-1,144,-1,448,356,-1,772,-1,592.5
63,1985,Adilabad,-1,167,-1,120,-1,482,340,-1,640,-1,522
63,1986,Adilabad,167,180,-1,125,-1,480,442,-1,738,-1,510
63,1987,Adilabad,-1,225,-1,250,-1,498,504,-1,940,-1,819
63,1988,Adilabad,-1,236,-1,248,-1,507,506,-1,940,-1,773
63,1989,Adilabad,-1,234.5,-1,239,-1,536,530,-1,949,-1,793
63,1990,Adilabad,-1,258,-1,255,-1,-1,540,-1,985,-1,850
63,1991,Adilabad,214,344,-1,320,-1,-1,-1,873,1462,378,1347
63,1992,Adilabad,296,240,-1,258,-1,-1,943,-1,1152,-1,1055
63,1993,Adilabad,344,240,263,229,-1,-1,983,-1,1323,-1,1229
63,1994,Adilabad,378,424,-1,354,-1,-1,1169,-1,2094,-1,2184
63,1995,Adilabad,392,-1,341,341,-1,-1,1310,-1,-1,-1,2133
63,1996,Adilabad,505,466,386,464,379,1203,1186,1147,1553,850,1823
63,1997,Adilabad,490,474,-1,438,-1,1441,1586,1077,1244,1043,2152
63,1998,Adilabad,443,499,415,427,-1,1162,1661,1191,2021,981,2262
63,1999,Adilabad,555,570,438,449,-1,1203,1362,1250,1904,715,2092
63,2000,Adilabad,499,479,-1,417,-1,1450,1380,1882,1627,629,2071
63,2001,Adilabad,518,477,-1,477,-1,1457,1291,1202,1797,811,2071
63,2002,Adilabad,550,571,474,489,415,1629,1356,1321,1626,829,1902
63,2003,Adilabad,568,574,544,470,-1,1414,1635,1535,1554,776,2420
63,2004,Adilabad,632,501,454,470,504,1360,1359,1376,2557,1188,1932
63,2005,Adilabad,576,557,697,505,524,1550,1518,1672,2095,1100,1879
63,2006,Adilabad,630,570,885,533,555,2073,2094,1843,2546,1051,1869
63,2007,Adilabad,820,733,1438,690,734,1973,2178,1869,3339,1041,2190
63,2008,Adilabad,942,727,1741,816,838,1549,2205,2408,3655,1221,2898
63,2009,Adilabad,952,992,928,802,1041,1995,3775,2505,5285,3007,3094
