Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),BAJRA AREA (1000 ha),BAJRA PRODUCTION (1000 Quintal),BAJRA HARVEST PRICE (Rs per Quintal),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 Quintal),MAIZE HARVEST PRICE (Rs per Quintal),RAGI AREA (1000 ha),RAGI PRODUCTION (1000 Quintal),RAGI HARVEST PRICE (Rs per Quintal),GRAM AREA (1000 ha),GRAM PRODUCTION (1000 Quintal),GRAM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal),SAFFOLA AREA (1000 ha),SAFFOLA PRODUCTION (1000 tons),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SUGARCANE AREA (1000 ha),SUGARCANE PRODUCTION (1000 Quintal),SUGARCANE HARVEST PRICE (Rs per Quintal),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 Quintal),COTTON HARVEST PRICE (Rs per Quintal)
63,1966,Adilabad,54,690,43.5,3,1,218.2,1486,54.5,0,0,0,18,140,53.9,0,0,0,6,10,107.2,26,90,114.2,10,40,135,38.1,36,203.6,0.79,0.13,0,0,0.1,9,,70,80,115.3
63,1967,Adilabad,55,590,52.8,0.6,0.1,97.8,553,60,9,20,,6,40,63.5,12,60,,8,20,,8,30,145,7,30,,4.4,4,205,15.64,2.07,0,0,0.8,64,,0.1,0,
63,1968,Adilabad,47.5,400,58.7,0.5,0.1,123.5,458,62.1,0,0,0,74,590,50.6,0,0,0,5,3,78.5,9,30,70.5,25,140,99.5,49.6,38,,0.01,0,0,0,0.4,28,,2,0,126.3
63,1969,Adilabad,58.8,667,49.2,0,0,186.6,991,53.3,4,10,,6,30,51.8,0,0,0,1,2,106.6,7,30,94.2,26,100,94,9.1,8,210.8,0.01,0,0,0,0,0,,0,0,169.7
63,1970,Adilabad,59.7,557,54.5,0.9,0.1,297.9,892,76.4,49,140,,0.1,1,63.4,48,190,,4,10,84.4,16,90,97.3,135,380,126.2,2.8,2,213.2,6.98,1.04,0,0,0,3,,9,0,256.6
63,1971,Adilabad,41.9,334,66.1,3,1,131.5,668,74.4,4,10,,45,260,63.4,10,50,,15,40,90.8,7,30,118.9,7,30,113.3,8.1,6,221.6,11.62,1.73,0,0,6.3,398,,0.2,0,233.2
63,1972,Adilabad,50.7,388,92.2,0,0,219.6,1146,87.8,123,340,,2,10,76.2,1,0,0,2,3,127.6,9,20,163.1,66,350,152.2,4.1,4,285.5,1.24,0.14,0,0,0,0,171.6,2,2,202.6
63,1973,Adilabad,64.9,938,83.5,2.2,0.5,60,367,120.1,0,0,0,33,340,108.1,2,10,,14,40,178,3,10,154.3,11,40,210.5,7,11,376.6,1.83,0.33,0,0,20,1268,,3,2,382
63,1974,Adilabad,64.9,554,109,0.2,0.2,188.9,872,150,17,50,,36,240,121,0,0,0,2,3,180.5,8,30,197,37,170,177.8,12.8,8,360.7,0.03,0,0,0,0,0,,2,2,315.3
63,1975,Adilabad,64.7,814,87.9,3,1,212.7,1245,110.6,0,0,0,18,140,77.8,0,0,0,4,10,117.7,25,130,149,11,70,151.6,36,51,331.1,1.51,0.24,0,0,0.1,9,,76,100,289.6
63,1976,Adilabad,64.5,768,90.1,0.8,0.1,101.2,458,108.4,8,30,,8,90,86.7,11,60,,8,20,146.5,9,40,174.6,7,40,188,5.1,8,388.7,15.51,2.03,0,0,0.7,50,,1,1,494.1
63,1977,Adilabad,65.7,741,,0.4,0.1,121.7,532,104,0,0,0,73,990,90,0,0,0,4,4,175,7,30,273,28,200,,46,41,406,0.16,0.03,0,0,0.2,17,,2,0,455.5
