Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
55,1966,Hyderabad,42,520,48.1,71.9,293,54.3,3.8,8,102.5,12.5,75,103.8,4.6,5,180.3
55,1967,Hyderabad,53,820,48.7,185.1,873,52,6.6,23,112.9,50.4,460,86.9,9.4,11,143.3
55,1968,Hyderabad,37.9,440,55.9,237,1111,60.5,31.1,99,115,16,57,,52.7,94,
55,1969,Hyderabad,41.6,503,53.2,123.9,398,58,16.3,27,85,9.8,36,,4.6,1,156.5
55,1970,Hyderabad,51.3,620,56.8,116.2,527,68.6,8,15,104.7,34.2,199,121.4,31.4,23,199.3
55,1971,Hyderabad,39.7,500,64.1,211.2,1618,81.5,8.5,16,112.4,33.3,183,105.7,6.5,6,211.3
55,1972,Hyderabad,28,320,82.8,308.4,812,100.7,22.9,16,150.8,191,558,206.8,2.9,2,273.5
55,1973,Hyderabad,41.5,840,78.1,137.8,402,127.5,9.3,17,160.3,12.5,45,248.6,5.9,3,383.2
55,1974,Hyderabad,41.8,733,96.5,201.8,545,150,11.7,8,150.9,82.6,355,210.1,2.6,2,425.2
55,1975,Hyderabad,55.1,948,86.1,66.2,299,108.2,3.7,7,115.9,12.2,44,147.7,3.3,1,327.4
55,1976,Hyderabad,57.6,1015,91.4,194.8,1139,121.4,8,19,171,46,382,243.2,9.1,5,385.5
55,1977,Hyderabad,47.7,869,95.6,256.2,1377,105.9,32.8,72,270.1,18.6,144,,51.5,42,337.9
55,1978,Hyderabad,58.3,1155,86.5,153.8,665,93.5,19,42,266,6.7,59,,5.1,6,371
55,1979,Hyderabad,46,840,97.6,126,942,96.2,8.6,17,272,29,292,,34.3,44,442
55,1980,Hyderabad,41,640,128,205.6,1401,138,8.8,17,342.3,30.2,300,,10.3,11,504
55,1981,Hyderabad,53,920,133.6,397.3,1401,147.7,24.3,44,351,98.1,749,,3.2,4,469
55,1982,Hyderabad,44.1,715,136,178.7,766,145.5,12.3,19,351,4.5,36,,6.6,8,544
55,1983,Hyderabad,50.8,855,150,205.1,505,178.5,11.1,15,483,52.9,410,,2.5,3,705
55,1984,Hyderabad,45.9,869,139.5,77.8,369,143.5,4.5,9,370,9.9,79,,4.5,5,762
55,1985,Hyderabad,32.3,424,164.8,193,1057,161.3,9,23,421.3,49.4,524,710,11.6,13,
55,1986,Hyderabad,22,430,167.1,247,1718,179.8,32.8,68,454.9,18.6,131,,51.5,57,790.1
55,1987,Hyderabad,31,640,180.7,115.2,836,198.3,18.9,67,857.1,8.8,77,,6.2,11,1096.5
55,1988,Hyderabad,44.9,977,185.9,114.8,707,220,7.6,24,739.5,39,336,,16.2,16,871
55,1989,Hyderabad,54.2,1309,,199,1555,,10.5,46,,34.5,238,,13.5,29,
55,1990,Hyderabad,51.19,1408.8,237,336.9,1714,214,26.7,49,1025,107,980,,2.6,3,1005
55,1991,Hyderabad,60.18,1334.2,318,162.9,1158,361,9.3,27,1048,5.2,42,965,7.4,11,
