Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
62,1966,Karimnagar,150,2000,47.4,157.4,1202,58.5,9.9,11,,2,12,,3.5,4,203.5
62,1967,Karimnagar,137,1600,51.8,148.9,401,61.3,9.5,8,,53,646,,2.4,2,164.8
62,1968,Karimnagar,54.1,550,58.9,51.9,271,63.1,3.4,5,,6.7,45,,1.7,2,
62,1969,Karimnagar,113.2,1481,56.2,152.2,924,56.1,10.3,10,,18.5,169,,6.8,5,208
62,1970,Karimnagar,126.3,1651,48.4,238.9,1280,47.6,28.5,68,92.9,4.6,24,124.6,23.7,19,161.4
62,1971,Karimnagar,68,969,70.1,127.6,826,78.7,19.4,26,105.8,6.3,59,113.5,4.1,4,216.1
62,1972,Karimnagar,91.8,1295,90.8,96.8,438,90.5,7.6,16,159.5,23.1,134,146,9.6,5,257.1
62,1973,Karimnagar,157.1,2954,81.2,173.5,1315,103.6,9,35,147.9,22.9,208,232.5,3.3,3,345.3
62,1974,Karimnagar,134.9,2453,110,324.3,1978,143.6,29,42,162.4,118.3,944,199.6,2.5,2,335.8
62,1975,Karimnagar,156.3,2872,85.3,146,604,93.1,9.5,12,144.6,2.6,18,,3.8,2,316.4
62,1976,Karimnagar,164.2,2701,90,158.9,512,103.9,11.6,16,,53.4,606,,1.9,1,406
62,1977,Karimnagar,136.4,2299,89.3,51.7,210,90,2.8,5,,9.9,96,,1.8,1,395.7
62,1978,Karimnagar,185.9,3794,79.5,152.4,698,77.1,10.1,20,244.1,35.7,371,,9.2,6,417.9
62,1979,Karimnagar,147,2900,96.9,243.8,1577,97.3,29.7,83,271.1,2.4,13,,39.4,45,
62,1980,Karimnagar,145,3380,108.9,107.4,772,107,17.9,39,273.2,5.5,41,,4,4,541.8
62,1981,Karimnagar,170,4020,111.5,78.7,424,106,6.5,9,293.8,20,130,,10.2,9,509.6
62,1982,Karimnagar,171.1,4042,127.3,207.6,2017,114,7.7,23,339.7,19.8,169,,3.2,3,611.8
62,1983,Karimnagar,187.5,3731,145.7,317.8,1683,138.5,30.3,56,399,143.6,892,,2.5,2,579
62,1984,Karimnagar,169.8,3908,136.5,140.9,1106,125.5,10.6,20,,2.3,13,,3.7,2,712.3
62,1985,Karimnagar,144.5,3007,152.3,151.9,698,126,8.8,12,326.2,67.1,632,,1.9,1,686.6
62,1986,Karimnagar,126,2770,152.8,53.1,484,131.5,3.3,8,337.3,8.5,67,,1.8,1,851.8
