Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
61,1966,Khammam,100,890,41.6,84.7,538,58.2,18.3,60,77,29.3,304,94.8,3.1,2,111.5
61,1967,Khammam,101,1270,44.9,324.2,1336,58.5,35.8,52,115.6,151.3,1019,111.9,2.4,1,139
61,1968,Khammam,57.1,520,54,158.1,698,56.5,11.8,25,86.3,3.4,27,89.5,3.5,1,
61,1969,Khammam,101.8,1559,55,139.3,542,57.4,15.5,30,97.7,54.1,581,121.5,1.8,1,170.8
61,1970,Khammam,101.5,1349,53.4,42.7,160,59.4,3.1,6,92.9,12.6,139,124.3,1.7,1,161.4
61,1971,Khammam,51.3,490,64.5,144.8,686,75.5,9.9,19,105.8,68,698,113.5,20,12,216.1
61,1972,Khammam,57.8,577,77.6,215,1322,74,31.9,43,159.6,0.6,3,146,19.5,14,257.1
61,1973,Khammam,91.9,1271,74.6,124.4,882,102.2,19.5,54,147.9,7.5,52,232.5,5,5,345.3
61,1974,Khammam,85.4,1165,106.4,46.6,217,143.6,6.3,9,162.4,40,290,199.6,2.3,1,335.8
61,1975,Khammam,109.7,1974,84.4,111.7,762,97,13.7,49,,26.4,251,150.8,5.5,5,248.8
61,1976,Khammam,106,1157,84,255,978,99.6,34.6,48,181.2,171.6,784,214.7,2,1,337
61,1977,Khammam,85.2,738,102.8,140.4,768,103.8,10.7,35,260.8,4.1,26,,3.1,1,285.8
61,1978,Khammam,115,1998,89.4,124.7,458,95.5,14.2,28,195.5,58.3,553,,1.4,1,354.5
61,1979,Khammam,47,590,98.9,43.6,310,89.4,3.6,8,251.9,11.6,96,,2,1,340.8
61,1980,Khammam,117,1560,120.1,122.4,533,113.4,8.6,27,356,74.9,577,,19.4,10,441
61,1981,Khammam,125,2510,124,227,1277,137,32.3,94,356,0.8,4,,21.8,30,441
61,1982,Khammam,128.7,2387,139,107.8,871,125.5,24.2,185,329,5.3,36,,4.4,12,603
61,1983,Khammam,135.5,2521,150.7,36.6,222,151.5,4.9,12,399,31.2,287,,3.9,4,564
61,1984,Khammam,77,1062,153,85.9,623,145,15.8,79,345,29.1,328,,5.9,7,659
61,1985,Khammam,136.4,2409,158,280.7,1317,155,34.9,51,310,152.3,746,,1.5,2,618
61,1986,Khammam,129,2150,196.4,153.6,929,144,13.7,35,475,3.4,22,,3,2,740.5
61,1987,Khammam,100,1710,193,120.6,557,136.5,15,50,665,42.7,348,617.7,2,3,870
61,1988,Khammam,154,3786,209,39.7,210,217.6,3,11,706.8,6.3,57,558.5,1.5,2,737.5
61,1989,Khammam,162.2,3821,193.3,87.8,437,235.6,7.3,35,638.5,57.3,511,662.8,21,29,845.7
61,1990,Khammam,165.49,3756.7,211,197.6,1048,213,34,60,818,3,20,856,22.9,22,1100
61,1991,Khammam,160.04,3636.2,321,98.6,952,336,25,130,900,4,20,1015,2.3,3,1513
61,1992,Khammam,148.9,2944.2,315,31.4,285,,5,10,940,29,140,858,3.9,5,1244
61,1993,Khammam,145,3630,366,90.6,605,280,16,90,935,31,390,890,5.8,7,1231
61,1994,Khammam,171,4520,366,240,1175,395,33,120,1132,114,510,1030,1.5,1,1370
61,1995,Khammam,129,3040,391,137.1,708,,13,30,1658,4,30,1040,3.3,3,
61,1996,Khammam,183,4760,390,115.8,466,510,13,30,1240,44,460,1227,1.2,1,1504
61,1997,Khammam,130,2690,421,41.1,222,497,3,10,1652,4,50,1173,1.3,2,1432
61,1998,Khammam,186,5080,465,77.5,282,470,5,10,1623,63,370,1198,21,20,1983
61,1999,Khammam,177.52,4000.1,492,203.3,1007,593,35,40,1450,2,10,1153,24.5,16,1959
61,2000,Khammam,183.31,5043,511,125.7,1009,613,32,70,1308,5,40,1157,2.3,3,1461
61,2001,Khammam,138.26,3926.3,520,31.5,205,558,6,10,1360,51,460,1229,3,3,1744
61,2002,Khammam,104,1810,609,77.3,684,596,22,70,1450,44,460,1549,5.5,9,1898
61,2003,Khammam,142.11,4124.8,536,197.2,1101,447,40,30,1463,103,590,1420,3.8,3,1862
61,2004,Khammam,162.6,4740.9,593,147.9,1050,648,18,10,1426,3,20,1455,2.8,4,2438
61,2005,Khammam,200.09,5309.6,664,122.4,393,702,17,20,1500,55,350,1642,1.9,2,2261
61,2006,Khammam,178.2,4481.2,633,42.9,330,780,4,10,1999,7,50,2200,1.1,1,2239
61,2007,Khammam,176.28,5482,813,82.5,601,876,9,2,2160,67,610,2078,24.1,26,3105
61,2008,Khammam,194.8,5956.1,1017,186,548,1116,34.9,32,2853,1.9,9,2299,29,9,3735
61,2009,Khammam,103.1,3065,1448,101.6,659,1573,28.8,73,3730,9.2,91,2518,2.1,2,3847
61,2010,Khammam,218.25,7040.7,1024,25.6,157,1432,5.8,10,3289,69.9,737,3592,4,2,3807
61,2011,Khammam,165.31,4116.9,1093,72.7,338,2211,24.8,76,2977,34.8,412,4279,6,5,4811
61,2012,Khammam,153.84,4730.8,2170,287.1,1230,2717,46.6,62,3992,167.8,912,4997,1.5,1,6820
61,2013,Khammam,191.78,5752.8,,123,568,,14.1,24,,5.6,47,,3.7,2,
61,2014,Khammam,145.71,4561.8,,103.6,377,,19.1,39,,49.8,468,,2.2,1,
61,2015,Khammam,121.72,3693.4,1489,31.1,140,,4.4,8,,22.3,267,7264,1,0,
61,2016,Khammam,121,4457.6,,65.2,186,,9.6,12,,81.8,675,,28.5,9,
61,2017,Khammam,161.32,5124,,202.7,1109.8,,43.5,41,,2.2,16,,19.8,24,
