Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
58,1966,Mahabubnagar,107,1270,47.5,102.6,903,59,28.5,91,101.4,6.8,63,137.3,2.2,1,195.6
58,1967,Mahabubnagar,119,1390,55.7,21,85.9,65.9,5.3,11,,63.8,632,,2.2,3,152.3
58,1968,Mahabubnagar,92.3,1010,61.9,49.9,319.1,65.1,31.4,147,76.9,33.3,407,124.2,8.3,9,
58,1969,Mahabubnagar,99.3,1034,53.1,297.3,1847.6,56.2,49.1,82,89.8,173.9,1254,125.2,1.4,1,187.5
58,1970,Mahabubnagar,117.6,1223,57.9,130.3,686.7,62.7,13.8,20,93.9,5.1,41,128.5,2.7,1,216.6
58,1971,Mahabubnagar,79.4,921,70.2,83.9,298.7,85.7,20.6,29,93.5,63.4,581,125.1,2,2,172.3
58,1972,Mahabubnagar,67,746,90.8,38.8,242.9,110.6,3.7,8,144.4,13.4,142,179.1,1.4,2,214.2
58,1973,Mahabubnagar,106.3,1654,85,48.7,214.1,95.5,8.7,13,121.9,89,754,214.8,23.5,18,
58,1974,Mahabubnagar,121.3,1617,112.8,182.85,918.2,152.7,46.95,32.4,190.1,1.82,19,215.6,23.25,8.3,
58,1975,Mahabubnagar,144.4,1846,81,104.68,925.6,107.1,27.49,80.6,,8.87,99.3,151.2,1.69,2.2,
58,1976,Mahabubnagar,148.6,1866,92.5,9.31,64.1,122,4.43,10.2,211.4,64.18,789.7,240.5,4.05,2.4,
58,1977,Mahabubnagar,135.2,1932,94,48.69,270.1,109.5,27.52,137.9,266,36.99,428.7,234.5,9.24,8.3,
58,1978,Mahabubnagar,164.9,2831,84,285.35,2044.9,85.8,49.48,75.2,247,186.88,1941.5,212,1.52,2.3,
58,1979,Mahabubnagar,160,2900,92.8,120.66,892.5,93.5,13.92,24.5,242,10.76,111.2,268.5,2.26,3.4,
58,1980,Mahabubnagar,136,2230,122.3,59.71,221.9,129.1,21.4,32.5,290,67.46,637.9,349.5,2.08,3.2,
58,1981,Mahabubnagar,158,2870,129.5,28.81,189.7,149,3.49,7.2,298.4,9.81,114,354.5,2.16,1.3,
58,1982,Mahabubnagar,118.5,1737,147.4,35.61,189.4,148.3,10.66,25.7,316.6,103.03,874.5,397.2,20.98,37.2,
58,1983,Mahabubnagar,156.6,2421,149.2,177.81,773.8,156.9,45.4,53.6,345,2.06,20.5,412.3,23.95,18,
58,1984,Mahabubnagar,93.3,1262,150.4,103.45,800.9,160,28.67,69.1,329.4,8.95,91.2,408.4,1.97,2.2,
58,1985,Mahabubnagar,63.6,852,171.8,8.11,52.9,143.7,4.66,12.2,310.4,62.13,762.3,487.8,3.42,3.1,
58,1986,Mahabubnagar,37,420,185.2,43.01,263,153,28.75,139.4,472,38.03,420.6,539.5,8.45,11.3,
58,1987,Mahabubnagar,52,740,203.3,267.32,1012.3,160,52.52,90.9,500,208.8,1221.5,567.5,1.32,2.4,
58,1988,Mahabubnagar,136.5,2937,212,107.4,660,240.5,12.64,24.3,597,8.97,79.5,534,1.82,2.7,
58,1989,Mahabubnagar,143.4,2627,216.5,49.84,237.7,204,21.11,83.6,645,71.03,662.6,653.5,2.53,4.5,
58,1990,Mahabubnagar,132.68,2610.8,234,24.86,189.8,222,2.98,7.8,852,6.86,76.3,851,1.51,1.6,
58,1991,Mahabubnagar,162.41,3857.5,302,24.55,169.5,367,8.79,56.1,941,99.23,925,954,20.3,43.9,
58,1992,Mahabubnagar,77.35,1367.8,358,186.6,1593.8,295,42.23,37.6,950,3.53,38.8,918,22.39,38.5,
58,1993,Mahabubnagar,75,1260,398,100.92,861.5,285,27.71,38.8,740,7.82,84.8,1035,2.03,1.9,
58,1994,Mahabubnagar,69,1210,417,7.78,48.5,372,3.74,5.9,1116,54.53,625.3,1024,3.87,7.7,
58,1995,Mahabubnagar,100,1910,437,39.4,265,,24.49,90.6,1141,32.43,413.9,1023,7.15,16.7,
58,1996,Mahabubnagar,121,2660,467,216.36,1551.1,465,37.01,43.7,1313,153.27,759.1,1115,1.41,3.3,1452
58,1997,Mahabubnagar,92,1790,505,112.97,855,470,11.61,6.6,1320,7.8,86.1,1099,2.5,3.7,1338
58,1998,Mahabubnagar,147,2920,,40.58,172.8,450,19,27.6,1267,64.24,676.6,,3.27,7.6,1836
58,1999,Mahabubnagar,133.07,2257.6,604,34.31,258.7,766,2.73,4.3,1450,8.19,118.9,1232,1.17,2.4,1564
58,2000,Mahabubnagar,166.46,4314.3,520,31.16,213,451,7.99,22.8,1268,79.18,757.4,1098,21.52,60.2,1845
58,2001,Mahabubnagar,137.18,3277.9,562,188,1900,493,39,40,1281,3,30,1202,26,50,1719
58,2002,Mahabubnagar,110,2220,614,96,790,502,24,110,1587,8,80,1496,2,0,1828
58,2003,Mahabubnagar,99.5,2306.1,584,10,70,509,3,10,1597,48,580,1703,4,10,1864
58,2004,Mahabubnagar,83.81,1898,556,47,320,691,29,140,1471,35,340,1388,11,20,2109
58,2005,Mahabubnagar,128.15,3205.4,667,203,1300,800,29,60,1633,145,1260,1567,1,0,1768
58,2006,Mahabubnagar,109.64,2679.8,671,111,850,723,12,20,1759,7,70,1763,3,10,2248
58,2007,Mahabubnagar,147.84,4250.3,727,54,190,1382,18,40,1903,66,530,2183,5,10,3495
58,2008,Mahabubnagar,144.73,4212.1,1045,33,340,1269,3,10,2689,8,140,2406,1,0,3500
58,2009,Mahabubnagar,163.86,4011.1,1407,41,210,1553,7,30,3825,85,690,3145,27,50,3706
58,2010,Mahabubnagar,196.7,5457.7,997,176,1360,1226,38,60,3181,3,30,3706,22,40,4715
58,2011,Mahabubnagar,172.07,3965.6,1146,93,810,2685,27,120,4291,6,50,4244,2,0,3582
58,2012,Mahabubnagar,142.03,3805,1617,8,40,2211,3,10,3926,46,550,4803,5,10,8512
58,2013,Mahabubnagar,168.63,4787,,34,200,,27,140,,26,320,,11,10,
58,2014,Mahabubnagar,160.77,4181,,179,1150,,28,50,,140,880,,1,0,
58,2015,Mahabubnagar,96.28,2150.2,1428,112,640,2011,11,10,,7,60,4272,5,20,
58,2016,Mahabubnagar,143.31,3864.6,,48,150,,19,60,,53,380,,5,10,
58,2017,Mahabubnagar,170.82,4200.7,,27,290,,3,10,,6,80,,1,0,
