Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
57,1966,Medak,97,1380,44.5,33,150,62.5,7,30,88.5,80,660,110.3,28,60,192.7
57,1967,Medak,106,1580,50.5,177,1310,64.6,36,60,132.1,3,30,,23,30,170.4
57,1968,Medak,64.2,640,57.9,88,620,,25,80,,8,60,,2,0,
57,1969,Medak,87.7,850,51,6,40,52.5,3,10,86.8,46,500,118.6,5,10,223.3
57,1970,Medak,106.9,1307,55.4,30,170,,25,100,,22,250,,9,10,177.9
57,1971,Medak,59.3,634,64.6,180,1300,84.5,34,70,105.5,137,1210,117.8,1,0,207.7
57,1972,Medak,52.6,162,81.6,110,740,103,11,20,150.7,7,60,187.3,3,10,273.5
57,1973,Medak,90.9,1363,78.4,36,150,117.3,23,70,157.5,54,480,202.6,4,10,312.1
57,1974,Medak,115,1718,90.5,24,170,150,3,10,181,9,130,293.5,1,0,
57,1975,Medak,112.1,1685,84,25,130,103,7,20,139,76,650,160.5,25,80,309
57,1976,Medak,107.2,1747,88,166,1240,111,34,60,195,3,50,193,25,20,374
57,1977,Medak,81.9,1045,96.5,83,690,84.5,27,80,295,8,110,,2,0,376
57,1978,Medak,126.5,2579,85.3,5,40,81.3,3,10,284,40,580,,5,10,360
57,1979,Medak,79,1270,95,27,150,94.2,27,130,279,17,240,,9,20,423
57,1980,Medak,93,1700,114.3,191,1190,124.6,40,130,312.9,159,1360,306.4,1,0,447.4
57,1981,Medak,126,2040,127.6,97,580,158.4,11,30,328.7,9,110,,3,10,507.3
57,1982,Medak,112.9,2181,137,36,150,153.9,29,100,351,58,540,,7,20,543
57,1983,Medak,130.4,2396,145.9,24,360,168.7,2,10,427.8,15,280,,1,0,653.7
57,1984,Medak,101.8,1661,143,20,160,148.7,11,30,367,71,720,,26,50,656.4
57,1985,Medak,82.9,1266,152,154,650,162.5,33,10,374,4,30,,26,10,667
57,1986,Medak,80,860,157.4,75,780,174.9,28,10,455,5,40,,2,0,685
57,1987,Medak,99,1890,168,6,50,178.9,3,10,680.1,33,290,906,4,10,
57,1988,Medak,131.8,2514,186.7,25,180,279.8,26,80,567.1,19,230,,9,10,794.6
57,1989,Medak,134.3,2779,196.1,158,790,240.1,36,60,654.8,140,710,617.8,1,0,965
57,1990,Medak,130.08,2832.5,207,101,510,241,10,0,846,7,60,839,2,0,1110
57,1991,Medak,108.33,1755,289,32,110,426,26,30,1034,54,260,978,6,0,
57,1992,Medak,93.97,1652.2,295,29,180,306,2,0,1077,9,110,940,1,0,1131
57,1993,Medak,92,1640,337,26,200,263,12,20,1044,66,500,879,19,20,1394
57,1994,Medak,81,1810,372,143,1010,387,36,130,,5,70,967,16,30,1446
57,1995,Medak,105,1890,374,88,430,,36,150,1646,9,100,,2,0,
57,1996,Medak,108,2190,387,4,20,518,6,20,1449,30,330,1154,4,10,1547
57,1997,Medak,74,1350,453,26,170,535,24,120,1588,14,170,1045,10,10,1338
57,1998,Medak,123,3030,,173,1020,475,49,120,1062,131,990,1391,2,0,1918
57,1999,Medak,112.83,2223.8,508,101,660,722,18,60,1450,10,120,1226,3,10,1985
57,2000,Medak,123.17,3362.3,471,30,120,520,26,120,1450,54,420,1223,6,20,1996
57,2001,Medak,108.45,2763.5,549,26,200,507,2,10,1381,15,350,1236,1,0,1771
57,2002,Medak,77,1580,612,20,120,474,33,120,1455,59,620,1604,23,70,1779
57,2003,Medak,86.3,2160.1,570,133.22,974.5,592,38.68,112.6,1762,4.52,51.4,1535,15.86,21.8,1794
57,2004,Medak,62.46,1244.8,565,77.04,517.4,738,37.4,178,1551,6.82,70.8,1543,1.75,2.7,2368
