Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
59,1966,Nalgonda,111,1050,49.1,18.71,82.5,57.9,30,92.4,84.8,45.62,374.2,144.5,7.83,9.9,157.8
59,1967,Nalgonda,149,2000,57.1,26.67,313.4,61.1,2.43,8.7,125.5,11.8,334.3,,1.52,2.9,
59,1968,Nalgonda,149.6,1520,61.9,10.89,40.3,,31.27,88.2,,48.81,590.2,126,27.46,45.7,
59,1969,Nalgonda,191.7,2007,62.1,111.29,1253.6,59,39.09,183.3,79.4,3.7,50.6,133.9,14.97,27.5,
59,1970,Nalgonda,208.9,2601,55.1,69.7,729.9,58.9,33.18,145.7,91,7.25,79.7,128.5,1.4,2.7,
59,1971,Nalgonda,194.7,2714,71.2,2.12,20.5,75.2,5.68,30.1,93.5,19.21,308.5,125.1,3.52,6.8,
59,1972,Nalgonda,166.6,2624,84.4,14.94,118.1,99.8,21.65,102.8,144.4,6.04,100.4,178.6,8.08,12.5,225
59,1973,Nalgonda,255.7,3723,78.7,173.07,1186.7,95.3,57.59,163,121.9,108.62,974.1,214.8,1.02,2,
59,1974,Nalgonda,248.1,3955,109.2,83.31,787.5,142,19.4,99.7,190.1,5.36,76.4,215.6,2.44,4.8,
59,1975,Nalgonda,301.3,5273,82.3,17.39,87.4,83.4,23.64,61.9,101.8,34.21,303.5,145,6.21,3.7,
59,1976,Nalgonda,249.7,3887,89.7,26.08,339.7,95.4,2.66,5.7,,7.39,125.9,231.4,1.45,2.8,
59,1977,Nalgonda,233.3,4275,95.7,11.39,68.7,96.6,24.91,134.7,253.1,45.33,481.9,219.8,19.69,51.3,
59,1978,Nalgonda,293.6,5417,89.6,92,840,77.3,41,100,234.2,2,30,201.1,11,30,
59,1979,Nalgonda,230,4600,99.9,61,630,86,33,190,247.1,5,60,,1,0,
59,1980,Nalgonda,183,3630,116.5,2,10,92.8,7,20,288,15,210,363.4,2,10,
59,1981,Nalgonda,210,4730,129.3,10,70,115.1,25,110,294.6,4,50,338.7,10,10,
59,1982,Nalgonda,210.2,4890,132.9,146,1320,101.4,58,240,302.4,90,590,340.8,1,0,
59,1983,Nalgonda,232.2,5442,145,82,780,120.6,19,60,360.2,3,50,399.6,2,0,
59,1984,Nalgonda,219.1,4532,144.3,28,90,122.4,26,50,333,30,190,412.8,8,10,
59,1985,Nalgonda,186.9,4436,158.4,27,460,121.1,2,10,333,4,40,419.9,1,0,
59,1986,Nalgonda,171,4790,159.2,18,120,131.2,23,100,445.7,41,380,530.1,21,50,
59,1987,Nalgonda,168,4270,168.9,98.63,895.4,131.5,39.74,137.5,588.4,3.25,46.5,608.6,12.31,24.8,
59,1988,Nalgonda,244.8,7028,195.8,57.09,581.3,167.5,35.79,263.1,470.7,5.9,72.6,475.1,1.24,3.6,
59,1989,Nalgonda,267.3,7216,194.4,2.07,19,218.1,12.24,51.9,591.3,16.79,317.6,564.6,3.52,7.4,
59,1990,Nalgonda,269.34,7166.3,194,11.94,147.4,192,29.95,158.1,780,6.72,82.2,759,13.49,21.2,
59,1991,Nalgonda,267.82,7026.8,298,127.59,917.7,346,60.21,240.2,830,75.37,686.3,396,0.88,2.5,
59,1992,Nalgonda,238.26,6665.5,278,72.04,575.4,297,24.57,127.5,831,4.85,69.3,793,2.27,6.4,
59,1993,Nalgonda,225,6470,341,28.74,173.9,260,37.89,192.8,840,35.53,316.9,892,13.03,31.6,
59,1994,Nalgonda,227,6490,363,22.74,345,348,2.43,8.2,1258,2.57,59,946,1,2.1,705
59,1995,Nalgonda,196,5120,376,11.94,73,,28.89,121.1,1455,45.06,582.7,1071,24.97,94,
59,1996,Nalgonda,279,7750,413,93.16,692.8,499,39.81,169.2,1247,4.15,48.2,1053,12.82,48.6,1452
59,1997,Nalgonda,212,5200,453,44.81,565,476,35.58,154.8,1364,3.93,67.4,1191,1.51,4.1,1432
59,1998,Nalgonda,318,9240,461,2.56,24.7,454,10.41,23.4,1623,17.78,179,1235,3.8,13.7,1836
59,1999,Nalgonda,239,5760.5,561,6.76,49.5,575,27.54,156.4,1362,6.06,79.4,1222,8.11,19.1,1946
59,2000,Nalgonda,262.3,7964.2,477,95.78,468.9,524,52.38,193.3,1308,76.39,723,1081,0.89,2.5,1331
59,2001,Nalgonda,219.59,5947.5,572,59.29,528.8,551,23.37,107.3,1284,3.21,51.3,1212,1.49,4.2,1279
59,2002,Nalgonda,132,2980,598,21.08,77.3,596,37.51,134.3,1495,36.76,281.4,1549,12.69,17.7,1544
59,2003,Nalgonda,123.01,3581.4,580,25.43,220.9,468,3.49,15.1,1691,1.84,24.6,1679,1.96,7.5,1861
59,2004,Nalgonda,192.69,5551.3,613,11.34,64.9,635,25.61,74.3,1418,44.85,516.6,1424,21.3,80.1,2509
59,2005,Nalgonda,310.7,9386.7,628,81.53,853.2,685,35.99,233.6,1532,4.27,61.7,1453,10.27,26,2271
59,2006,Nalgonda,284.28,8059,666,39.85,459.2,707,36.26,260,2086,4.53,83.6,1878,1.24,3,2385
59,2007,Nalgonda,310.74,9898.4,765,1.92,16.6,854,16.82,114.4,2090,14.11,260,1997,4.79,28.3,2585
59,2008,Nalgonda,361.81,11503.1,988,5.04,35.4,1163,26.74,165,2591,6.03,82.8,2474,7.56,19.3,2665
59,2009,Nalgonda,273.43,9189.7,1300,89.25,828.5,1792,61.4,454.4,3534,88.45,1041.8,2892,0.73,1.8,3828
59,2010,Nalgonda,405.32,13237.1,1040,53.89,639.2,1628,24.04,61.3,3355,2.68,38.5,3019,1.76,4.5,3592
59,2011,Nalgonda,327.76,9638,1067,15.03,79.6,1950,36.06,207,2976,35.15,340.8,3593,10.49,28,3511
59,2012,Nalgonda,208.52,6838.7,1334,20.12,197.9,1821,4.42,16.9,3725,2.2,45,4194,2.78,10.3,4346
59,2013,Nalgonda,393.74,12052.9,,8.41,44.1,,23.78,119.9,,42.13,614.7,,18.64,45,
59,2014,Nalgonda,323.38,10413.6,,77.12,683.8,,34.33,238.6,,4.86,74.1,,12.29,29.2,
59,2015,Nalgonda,212.73,6204.5,1429,35.94,478.5,2699,33.21,246.1,,3.96,67.4,4748,0.91,1.7,6545
59,2016,Nalgonda,356.25,12564.3,,0.38,3.7,,11.79,51.9,,13.52,249.7,,4.85,22.9,
59,2017,Nalgonda,415.25,13807.4,,4.48,38.5,,22.92,124.9,,5.36,86.7,,5.53,12.4,
