Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
56,1966,Nizamabad,125,2650,42.9,81.13,634.2,57.7,66.73,138.8,,82.83,887.6,118.1,0.37,0.7,187.8
56,1967,Nizamabad,124,2500,48,48.79,436.9,62.9,23.96,82.2,,2.22,38.1,154,1.49,3,218.3
56,1968,Nizamabad,97.5,1580,53.3,13.53,68.9,67.1,31.66,101.3,,27.06,233.5,95.7,7.52,13.3,
56,1969,Nizamabad,127.5,2287,48.3,11.47,85,66,3.33,11.7,,2.02,32.3,137.3,2.06,6.6,204.3
56,1970,Nizamabad,132,2335,56.1,7.09,44.9,78.5,22.02,76.9,95,37.47,516.4,134.2,15.23,31.4,150.6
56,1971,Nizamabad,70.6,1025,70.4,53.64,774,85,38.33,295.9,,4.64,61.7,92.5,3.52,6.4,193.2
56,1972,Nizamabad,88.1,365,84.4,31.72,447,105.3,31.97,283.6,,7.18,145.9,129.5,0.93,2.1,271.4
56,1973,Nizamabad,117.1,2329,80.7,0.16,1.1,106.8,9.93,72.4,143,15.6,235.7,174.4,2.93,11.1,315.6
56,1974,Nizamabad,140.8,2095,113.2,3.33,39.6,148.5,18.87,108.7,,6.57,95.5,172.3,5.14,13,386.5
56,1975,Nizamabad,150.5,2881,86.6,68.27,653.9,130.4,69.36,491.1,,98.6,1939,140.2,0.43,1,140.2
56,1976,Nizamabad,133.8,2375,86.5,44.73,549,125,23.72,119.5,,2.2,41.5,186,1.44,3.2,402.2
56,1977,Nizamabad,133.2,3041,91.6,12.06,63.5,98.4,37.55,182.9,,31.82,319.2,,6.91,9.6,
56,1978,Nizamabad,153.9,3987,82.1,9.62,128.5,127.4,3.09,20,,3.13,66.4,,1.81,4.6,
56,1979,Nizamabad,134,2500,100.6,6.95,41.5,106.7,21.62,87.3,,37.14,555.6,220.2,14.33,35.1,445
56,1980,Nizamabad,138,2900,114.1,44.97,566,127.5,41.07,193.9,,5.96,75,,7.56,14.2,
56,1981,Nizamabad,151,3580,119.8,23.61,387.6,212.4,33.29,206.4,,7.09,141.6,,0.59,1.4,
56,1982,Nizamabad,155.5,3429,139,0,0,146.4,6.54,38.7,,16.78,302.4,376.3,2.37,10.2,
56,1983,Nizamabad,158.8,3200,148.8,3.16,29,168.4,14.68,87.5,,6.8,108.8,392.4,5.08,15.6,
56,1984,Nizamabad,145.1,2759,145.3,49.04,434.2,148.7,79.97,230.3,,99.47,1629.1,404.6,0.26,0.6,
56,1985,Nizamabad,135.7,2596,157.4,38.52,404,154,24.58,144.3,,1.82,35.6,418.5,1.05,2.6,
