Dist Code,Year,Dist Name,PADDY AREA (1000 ha),PADDY PRODUCTION (1000 Quintal),PADDY HARVEST PRICE (Rs per Quintal),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 Quintal),SORGHUM HARVEST PRICE (Rs per Quintal),ARHAR AREA (1000 ha),ARHAR PRODUCTION (1000 Quintal),ARHAR HARVEST PRICE (Rs per Quintal),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 Quintal),GROUNDNUT HARVEST PRICE (Rs per Quintal),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 Quintal),SESAMUM HARVEST PRICE (Rs per Quintal)
60,1966,Warangal,137,1590,54.5,0.12,1.3,47.5,6.59,46.1,85.8,9.34,141,102.3,7.68,40,
60,1967,Warangal,136,1770,46.5,1.98,19,58,3.53,14.1,112.2,6.51,104.5,117.5,2.44,5,125
60,1968,Warangal,90.1,910,60.1,37.35,426.7,80,115.28,608.7,118,105.04,1927.7,97.3,0.7,2.3,
60,1969,Warangal,149.3,1946,48.7,25.04,278.6,52.7,29.2,197.4,80,1.52,16.4,112.7,0.42,1.5,171.7
60,1970,Warangal,134,1757,53.9,4.91,32.2,44.5,28.64,138.3,93.2,22.41,339.8,106.6,0.97,1.3,232.9
60,1971,Warangal,67.9,945,72,5.66,57.9,70.9,3.13,31.7,102,1.33,33.7,126.9,4.76,20,211.3
60,1972,Warangal,58,759,90.3,2.68,21.4,89.5,9.21,62.5,179.8,30.41,605.1,158,2.3,9.5,232.2
60,1973,Warangal,136.3,2273,84.5,26.13,216.6,92.5,40.26,270.1,130,1.71,29.2,216.3,4.88,18.7,315
60,1974,Warangal,107,1371,108.1,14.66,158.2,140.1,36,158.8,130,10.78,175,181.3,0.21,0.5,241.6
60,1975,Warangal,150.6,2586,85,0.12,1.5,78.3,4.62,31.3,99.9,11.02,166.2,131,6.08,30.5,186.7
60,1976,Warangal,142.5,2390,90.3,0.36,3.4,102.9,2.06,11.8,170.3,6.37,105.8,233.4,3.67,9.1,357.6
60,1977,Warangal,96.4,1163,96,37.22,419.9,92.6,116,546.4,184,126.13,2208.3,183.2,0.39,0.9,322.8
60,1978,Warangal,163.2,3104,83.3,17.78,196.1,76.5,26.83,154.8,242.5,1.46,18.4,157.8,0.27,0.8,297.7
60,1979,Warangal,89,1350,103.9,4.57,27.9,90.4,25.08,143.7,268.3,21.46,288.9,,1.55,3.3,
60,1980,Warangal,131,2510,108.1,4.34,51.4,97.9,3.63,20.7,277.3,1.2,24.8,222.3,4.05,16.2,411.8
60,1981,Warangal,155,2890,119.9,1.99,13.8,115.7,8.44,54.8,319,29.94,534.7,259.5,3.1,7.1,453.8
60,1982,Warangal,130.2,2287,143.2,20.13,177.2,114.5,35.27,290.7,328.2,0.98,18.8,284.3,4.82,21.5,426.5
